id,user_id,lesson_id,correct_count,wrong_count,total_questions,time_seconds,xp_earned,coins_earned,completed_at
5577e00c-393f-4b83-ac93-07f496c3c5c5,b37a1798-60a1-45a8-95b3-8c38c62ce127,b0000001-0000-0000-0000-000000000003,10,0,10,120,120,20,2026-06-25 01:04:37.8382+00
829559aa-bfa5-4639-89af-a3dd60f6ec5a,b37a1798-60a1-45a8-95b3-8c38c62ce127,b0000001-0000-0000-0000-000000000002,7,3,10,91,80,14,2026-06-25 00:24:16.111998+00
e1038ed2-eb6a-45e2-a2f6-5708eeadc593,b37a1798-60a1-45a8-95b3-8c38c62ce127,b0000001-0000-0000-0000-000000000001,8,2,10,45,100,16,2026-06-24 23:28:48.214566+00
